City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Kaeo,NZ,2022-09-28 02:08:53,-35.1,173.7833,65.32,71,94,10.78
253,Jaciara,BR,2022-09-28 02:08:54,-15.9653,-54.9683,76.66,67,100,1.9
254,Iqaluit,CA,2022-09-28 02:08:54,63.7506,-68.5145,32.7,74,90,13.0
255,Batsfjord,NO,2022-09-28 02:08:55,70.6345,29.7185,48.13,81,100,8.05
256,Port Lincoln,AU,2022-09-28 02:08:56,-34.7333,135.8667,54.82,62,89,11.74
257,Kilindoni,TZ,2022-09-28 02:08:56,-7.9139,39.6668,75.49,72,40,10.92
258,Vysokogornyy,RU,2022-09-28 02:08:57,50.1167,139.15,61.41,69,57,17.85
259,Kodarma,IN,2022-09-28 02:08:58,24.4667,85.6,79.25,77,83,1.41
260,Northam,GB,2022-09-28 02:08:58,51.0333,-4.2167,54.61,76,99,15.7
261,Bardiyah,LY,2022-09-28 02:08:58,31.7561,25.0865,79.18,55,1,10.74
262,Portland,US,2022-09-28 02:08:41,45.5234,-122.6762,78.78,56,20,8.05
263,Umred,IN,2022-09-28 02:09:00,20.85,79.3333,77.29,89,80,6.49
264,Marovoay,MG,2022-09-28 02:09:00,-16.1,46.6333,64.4,67,0,4.41
265,Twin Falls,US,2022-09-28 02:07:21,42.3505,-114.6445,73.92,26,0,10.36
266,Rosetta,EG,2022-09-28 02:09:01,31.4044,30.4164,74.61,73,0,3.53
267,Rundu,NA,2022-09-28 02:09:02,-17.9333,19.7667,74.57,22,40,10.71
268,High Rock,BS,2022-09-28 02:09:02,26.6208,-78.2833,82.42,77,100,11.92
269,Celestun,MX,2022-09-28 02:09:03,20.8667,-90.4,80.37,82,3,12.46
270,Praia,CV,2022-09-28 02:09:04,14.9215,-23.5087,78.6,77,68,9.95
271,Xining,CN,2022-09-28 02:04:06,36.6167,101.7667,52.68,62,3,2.04
272,Tezu,IN,2022-09-28 02:09:05,27.9167,96.1667,82.26,62,50,1.81
273,Bay Roberts,CA,2022-09-28 02:09:05,47.5999,-53.2648,66.92,92,100,5.01
274,Kaitangata,NZ,2022-09-28 02:10:06,-46.2817,169.8464,58.64,65,43,7.23
275,Acarau,BR,2022-09-28 02:08:43,-2.8856,-40.12,78.1,81,1,17.13
276,Tuatapere,NZ,2022-09-28 02:10:07,-46.1333,167.6833,59.85,62,86,2.17
277,Sfantu Gheorghe,RO,2022-09-28 02:10:08,45.8667,25.7833,52.27,96,40,3.11
278,Bethel,US,2022-09-28 02:10:08,41.3712,-73.414,58.55,84,0,4.61
279,Kyshtovka,RU,2022-09-28 02:10:09,56.555,76.6271,25.84,83,82,7.76
280,Huambo,AO,2022-09-28 02:10:10,-12.7761,15.7392,63.09,63,70,3.96
281,Lafiagi,NG,2022-09-28 02:10:10,8.8667,5.4167,72.36,97,100,1.34
282,Nakusp,CA,2022-09-28 02:10:11,50.2499,-117.8023,69.13,42,3,3.09
283,Villafranca De Los Barros,ES,2022-09-28 02:10:11,38.5614,-6.3381,60.17,62,0,5.46
284,Dejen,ET,2022-09-28 02:10:12,10.1667,38.1333,49.5,76,3,1.88
285,Luderitz,NA,2022-09-28 02:10:13,-26.6481,15.1594,54.91,68,15,10.54
286,Mount Isa,AU,2022-09-28 02:10:14,-20.7333,139.5,65.97,94,100,5.75
287,Souillac,MU,2022-09-28 02:10:14,-20.5167,57.5167,71.98,64,75,11.5
288,Okha,RU,2022-09-28 02:10:15,53.5739,142.9478,47.08,86,100,7.02
289,Chuy,UY,2022-09-28 02:10:15,-33.6971,-53.4616,53.76,94,0,6.89
