City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
231,Aguimes,ES,75.67,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
233,Sao Gabriel Da Cachoeira,BR,83.12,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
238,San Policarpo,PH,81.34,overcast clouds,12.1791,125.5072,Agapita M. Nicart
241,Isiro,CD,83.03,broken clouds,2.7739,27.616,Guest House Hewa Bora
242,Pundaguitan,PH,82.89,light rain,6.3711,126.1689,Leonardo Family Beach House 1
246,Sayla,IN,86.97,broken clouds,22.55,71.4667,Bell Guest House
247,Trairi,BR,88.12,scattered clouds,-3.2778,-39.2689,janelas do mar
249,Touros,BR,85.28,few clouds,-5.1989,-35.4608,INN NEW HORIZON
250,Pitimbu,BR,80.65,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
252,Akropong,GH,77.45,moderate rain,5.9746,-0.0854,Vip Lodge
253,Cayeli,TR,75.42,clear sky,41.0923,40.7292,Grand Cavusoglu Hotel
255,Namatanai,PG,79.03,light rain,-3.6667,152.4333,Seagulls Inn Namatani
257,Camapua,BR,82.6,clear sky,-19.5314,-54.0439,Comercial Estrela
259,Ixtapa,MX,81.23,scattered clouds,20.7,-105.2,hotel la terminal
262,Lucea,JM,82.26,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
265,Puerto Narino,CO,81.55,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
267,Kalmunai,LK,83.98,broken clouds,7.4167,81.8167,VS Villa
268,Hobyo,SO,79.05,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
269,Cabedelo,BR,81.37,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
270,Bandarbeyla,SO,79.14,broken clouds,9.4942,50.8122,JABIR HOTEL
274,Auki,SB,76.42,clear sky,-8.7676,160.7034,Auki Motel
277,Yamethin,MM,75.11,overcast clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
279,Kavieng,PG,81.68,light rain,-2.5744,150.7967,Nusa Island Retreat
281,Faanui,PF,76.98,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
287,Tautira,PF,76.06,scattered clouds,-17.7333,-149.15,Pension Oaoa
288,Sancti Spiritus,CU,78.21,broken clouds,21.9297,-79.4425,Hostal El Parque
289,Caravelas,BR,78.44,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
290,Kuala Terengganu,MY,81.55,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
305,Oyotun,PE,75.24,broken clouds,-6.8519,-79.3036,Hotel Campos
307,Simpang,ID,77.61,overcast clouds,-1.2667,104.0833,Budidaya Pembesaran Ikan
310,Sola,VU,79.7,few clouds,-13.8833,167.55,Leumerus Bungalows
312,Waingapu,ID,80.85,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
313,Cockburn Town,TC,82.71,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
314,Biak,ID,77.05,few clouds,-0.9131,122.8766,Penginapan Kim
318,Bacolod,PH,78.98,broken clouds,10.6667,122.95,Planta Hotel & Residences
