City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Upernavik,GL,72.7868,-56.1549,21.81,80,29,4.76,scattered clouds
237,Loveland,US,40.3978,-105.075,57.94,90,75,3.44,broken clouds
238,San Policarpo,PH,12.1791,125.5072,81.34,81,99,7.61,overcast clouds
239,Numata,JP,36.6333,139.05,62.13,72,1,4.05,clear sky
240,Saint-Louis,SN,16.3333,-15.0,94.48,26,60,4.05,broken clouds
241,Isiro,CD,2.7739,27.616,83.03,58,73,3.11,broken clouds
242,Pundaguitan,PH,6.3711,126.1689,82.89,77,89,12.62,light rain
243,Quatre Cocos,MU,-20.2078,57.7625,72.09,71,33,13.94,scattered clouds
244,Yangambi,CD,0.8102,24.4336,82.51,65,100,0.83,overcast clouds
245,Cherskiy,RU,68.75,161.3,29.61,98,100,2.39,light snow
246,Sayla,IN,22.55,71.4667,86.97,46,67,11.32,broken clouds
247,Trairi,BR,-3.2778,-39.2689,88.12,47,45,16.75,scattered clouds
248,Kumukh,RU,42.1704,47.1161,57.94,78,54,3.02,light rain
249,Touros,BR,-5.1989,-35.4608,85.28,56,12,20.04,few clouds
250,Pitimbu,BR,-7.4706,-34.8086,80.65,62,51,16.2,broken clouds
251,Kununurra,AU,-15.7667,128.7333,71.58,88,100,0.0,overcast clouds
252,Akropong,GH,5.9746,-0.0854,77.45,76,99,9.26,moderate rain
253,Cayeli,TR,41.0923,40.7292,75.42,68,0,2.93,clear sky
254,Kaura Namoda,NG,12.5898,6.5779,91.33,42,65,5.12,broken clouds
255,Namatanai,PG,-3.6667,152.4333,79.03,81,27,7.36,light rain
256,Araouane,ML,18.9048,-3.5265,98.2,19,51,5.06,broken clouds
257,Camapua,BR,-19.5314,-54.0439,82.6,53,6,5.59,clear sky
258,Campbellton,CA,48.0075,-66.6727,53.2,74,100,6.71,overcast clouds
259,Ixtapa,MX,20.7,-105.2,81.23,94,40,4.61,scattered clouds
260,Diffa,NE,13.3154,12.6113,100.54,22,6,5.19,clear sky
261,Jining,CN,35.405,116.5814,72.99,90,95,9.91,light rain
262,Lucea,JM,18.451,-78.1736,82.26,80,100,7.27,overcast clouds
263,Port Lincoln,AU,-34.7333,135.8667,57.11,85,4,10.47,clear sky
264,Broadstairs,GB,51.3591,1.4394,66.2,66,4,1.99,clear sky
265,Puerto Narino,CO,-3.7703,-70.3831,81.55,63,96,4.21,overcast clouds
266,Ayr,GB,55.4627,-4.6339,57.18,77,40,21.85,scattered clouds
267,Kalmunai,LK,7.4167,81.8167,83.98,65,82,3.13,broken clouds
